YEAR,AREA,GEAR,MONTH,SEX,LENGTH,FREQ,QUARTER,SOURCE
1997,620,26,7,1,78,1,3,ELMEJJATI
1997,620,26,7,2,80,2,3,ELMEJJATI
1997,620,26,7,1,84,1,3,ELMEJJATI
1997,620,26,7,2,84,1,3,ELMEJJATI
1997,620,26,7,2,85,1,3,ELMEJJATI
1997,620,26,7,2,88,1,3,ELMEJJATI
1997,620,91,9,1,53,2,3,ELMEJJATI
1997,620,91,9,1,57,1,3,ELMEJJATI
1997,620,91,9,2,57,1,3,ELMEJJATI
1997,620,91,9,1,58,1,3,ELMEJJATI
1997,620,91,9,1,59,1,3,ELMEJJATI
1997,620,91,9,2,59,1,3,ELMEJJATI
1997,620,91,9,1,61,1,3,ELMEJJATI
1997,620,91,9,2,62,1,3,ELMEJJATI
1997,620,91,9,1,63,1,3,ELMEJJATI
1997,620,91,9,1,64,1,3,ELMEJJATI
1997,620,91,9,2,66,1,3,ELMEJJATI
1997,620,91,9,1,67,1,3,ELMEJJATI
1997,620,91,9,2,68,1,3,ELMEJJATI
1997,620,91,9,2,69,1,3,ELMEJJATI
1997,620,91,9,1,72,1,3,ELMEJJATI
1997,620,91,9,1,74,1,3,ELMEJJATI
1997,620,91,9,2,76,2,3,ELMEJJATI
1997,620,91,9,2,88,1,3,ELMEJJATI
1997,620,91,10,2,58,3,4,ELMEJJATI
1997,620,91,10,1,59,1,4,ELMEJJATI
1997,620,91,10,2,59,1,4,ELMEJJATI
1997,620,91,10,2,61,2,4,ELMEJJATI
1997,620,91,10,1,62,2,4,ELMEJJATI
1997,620,91,10,2,62,3,4,ELMEJJATI
1997,620,91,10,1,63,3,4,ELMEJJATI
1997,620,91,10,2,63,5,4,ELMEJJATI
1997,620,91,10,1,64,4,4,ELMEJJATI
1997,620,91,10,2,64,2,4,ELMEJJATI
1997,620,91,10,1,65,4,4,ELMEJJATI
1997,620,91,10,2,65,1,4,ELMEJJATI
1997,620,91,10,2,66,1,4,ELMEJJATI
1997,620,91,10,1,67,4,4,ELMEJJATI
1997,620,91,10,2,67,3,4,ELMEJJATI
1997,620,91,10,1,68,1,4,ELMEJJATI
1997,620,91,10,2,68,1,4,ELMEJJATI
1997,620,91,10,2,69,2,4,ELMEJJATI
1997,620,91,10,1,70,2,4,ELMEJJATI
1997,620,91,10,2,70,1,4,ELMEJJATI
1997,620,91,10,2,71,1,4,ELMEJJATI
1997,620,91,10,1,72,1,4,ELMEJJATI
1997,620,91,10,2,72,1,4,ELMEJJATI
1997,620,91,10,1,73,1,4,ELMEJJATI
1997,620,91,10,1,74,1,4,ELMEJJATI
1997,620,91,10,1,76,1,4,ELMEJJATI
1997,620,91,10,2,79,1,4,ELMEJJATI
1997,620,91,10,1,82,1,4,ELMEJJATI
1997,620,91,10,2,83,2,4,ELMEJJATI
1997,620,91,10,1,85,1,4,ELMEJJATI
